distance,speed,status
40.6,4.8,0
74.5,3.0,0
19.8,17.3,2
10.5,28.0,2
62.1,3.5,0
7.0,29.5,2
84.1,1.1,0
22.3,6.8,1
33.9,10.2,1
46.0,1.5,0
63.1,0.7,0
32.8,8.7,1
48.3,3.9,0
24.0,10.1,1
61.3,0.2,0
62.7,0.9,0
11.2,29.2,2
96.7,4.0,0
33.9,6.0,1
70.0,2.2,0
16.6,22.4,2
8.3,28.6,2
29.6,11.6,1
34.6,10.2,1
56.9,0.9,0
97.1,3.9,0
94.3,4.5,0
61.8,4.6,0
13.4,17.9,2
9.3,19.9,2
41.9,1.4,0
83.7,1.8,0
31.7,10.4,1
18.4,27.0,2
12.1,29.8,2
78.4,1.0,0
5.5,27.2,2
72.2,3.6,0
78.3,0.4,0
39.1,6.2,1
87.0,3.1,0
36.4,5.6,1
34.5,8.3,1
74.3,3.2,0
89.3,2.4,0
16.4,25.7,2
77.3,2.8,0
78.2,2.5,0
54.7,2.1,0
7.4,16.6,2
8.0,24.5,2
34.9,10.1,1
91.2,1.2,0
44.0,3.8,0
26.7,5.8,1
32.5,6.6,1
93.3,4.0,0
65.2,4.4,0
81.3,0.9,0
89.8,2.7,0
81.7,4.5,0
35.2,6.1,1
26.7,9.3,1
82.7,4.3,0
5.7,22.7,2
44.7,1.1,0
16.4,20.1,2
94.6,1.6,0
54.3,3.5,0
39.5,14.7,1
96.4,1.3,0
52.2,1.5,0
32.1,5.4,1
62.9,2.5,0
9.9,19.2,2
91.3,1.2,0
18.8,22.3,2
98.6,1.2,0
68.9,3.8,0
27.6,12.3,1
39.9,11.3,1
65.2,2.7,0
13.6,27.5,2
35.5,6.9,1
8.9,23.9,2
69.4,0.1,0
53.6,1.1,0
66.3,0.9,0
70.6,1.9,0
94.0,0.7,0
37.4,6.1,1
92.8,4.4,0
29.5,11.6,1
82.6,2.8,0
55.3,1.2,0
13.8,28.5,2
90.5,3.2,0
37.2,8.5,1
74.0,4.5,0
89.3,3.9,0
66.0,0.4,0
20.4,14.0,1
62.6,0.0,0
14.6,25.0,2
5.5,17.4,2
57.1,3.5,0
66.9,1.1,0
72.7,1.2,0
35.9,12.5,1
66.7,4.2,0
67.5,2.8,0
13.9,20.5,2
30.2,7.4,1
97.4,2.0,0
89.7,3.2,0
80.5,2.5,0
59.8,2.5,0
23.5,12.2,1
31.7,5.2,1
66.3,0.9,0
94.3,4.8,0
91.9,1.9,0
6.5,28.9,2
45.7,4.8,0
96.5,4.3,0
33.0,8.9,1
85.9,1.6,0
21.1,10.6,1
93.9,3.5,0
59.2,0.5,0
63.4,5.0,0
18.3,22.8,2
88.4,3.7,0
71.2,3.5,0
39.2,7.9,1
81.9,4.1,0
87.4,4.6,0
53.6,2.5,0
80.8,3.2,0
71.7,4.0,0
89.6,1.7,0
40.7,0.5,0
59.9,0.2,0
49.2,2.7,0
32.2,10.9,1
7.9,15.6,2
83.1,1.8,0
17.1,22.8,2
78.1,1.1,0
64.2,0.4,0
9.9,23.0,2
56.4,3.2,0
74.0,4.9,0
54.0,1.6,0
80.5,1.4,0
46.7,0.4,0
7.4,29.4,2
84.4,3.5,0
43.9,0.9,0
19.9,18.8,2
57.2,3.6,0
67.7,1.4,0
95.7,3.7,0
57.7,3.1,0
44.9,1.2,0
38.8,12.6,1
6.4,16.7,2
9.4,15.6,2
86.3,3.5,0
50.0,0.5,0
51.7,2.4,0
21.5,9.3,1
42.9,3.1,0
65.3,0.2,0
40.6,3.1,0
52.8,4.3,0
67.6,0.8,0
11.7,24.6,2
7.5,23.8,2
94.3,2.9,0
41.9,3.2,0
48.5,2.7,0
94.4,1.9,0
96.3,4.5,0
23.6,5.7,1
14.6,15.3,2
14.0,25.2,2
11.8,19.8,2
85.3,0.1,0
82.4,1.4,0
16.2,25.5,2
64.7,4.4,0
74.8,4.0,0
31.8,6.8,1
76.3,4.0,0
99.1,2.1,0
40.3,3.9,0
37.4,14.3,1
86.5,2.1,0
76.3,3.8,0
14.8,28.5,2
53.0,4.1,0
35.4,14.0,1
42.0,0.1,0
91.0,0.5,0
35.3,14.5,1
95.3,2.9,0
65.0,2.2,0
32.9,8.3,1
68.9,3.8,0
80.2,3.9,0
13.7,22.4,2
10.5,23.2,2
46.9,4.4,0
38.3,6.2,1
18.6,26.4,2
63.7,0.5,0
13.0,25.5,2
11.9,27.3,2
72.1,0.4,0
13.1,29.8,2
40.6,1.9,0
82.2,4.7,0
98.7,3.8,0
40.7,0.4,0
78.8,2.8,0
45.3,4.5,0
15.6,22.4,2
6.1,22.0,2
10.3,16.8,2
16.2,24.7,2
75.9,2.9,0
96.4,1.9,0
32.1,13.7,1
26.2,14.6,1
6.2,29.5,2
9.1,28.4,2
55.1,5.0,0
12.0,23.3,2
97.1,2.6,0
64.8,3.5,0
48.2,3.1,0
60.5,4.5,0
9.3,19.2,2
95.3,4.5,0
48.3,3.1,0
31.4,6.9,1
49.1,1.8,0
60.4,0.4,0
97.6,4.9,0
71.3,2.7,0
34.4,13.1,1
70.0,0.8,0
91.5,4.1,0
95.2,3.6,0
63.3,2.1,0
93.6,4.3,0
9.3,15.4,2
40.8,4.1,0
98.8,0.8,0
61.4,1.9,0
97.1,4.2,0
84.6,2.3,0
44.4,1.4,0
10.4,28.0,2
82.2,5.0,0
99.7,2.8,0
78.1,4.7,0
85.7,1.2,0
47.8,0.6,0
95.6,3.0,0
26.7,11.7,1
63.7,1.8,0
15.8,25.1,2
54.4,3.9,0
54.4,4.3,0
57.4,2.8,0
88.3,2.0,0
17.7,15.4,2
76.7,3.1,0
71.9,1.1,0
18.0,15.2,2
38.3,10.9,1
42.3,2.2,0
90.9,1.7,0
53.8,3.9,0
42.7,3.1,0
86.9,4.7,0
19.0,28.9,2
51.8,1.3,0
48.6,4.9,0
51.8,1.6,0
65.2,1.2,0
12.2,16.9,2
17.2,17.3,2
18.2,24.6,2
22.3,8.5,1
90.2,2.4,0
68.4,0.9,0
23.3,5.4,1
21.0,7.8,1
21.8,5.9,1
16.5,21.9,2
24.6,8.6,1
52.8,3.5,0
8.7,27.0,2
64.7,0.4,0
88.0,4.6,0
10.8,19.2,2
81.6,3.7,0
22.5,7.1,1
40.2,2.4,0
63.7,1.8,0
48.9,3.7,0
8.5,18.8,2
72.8,4.5,0
53.6,2.7,0
15.2,21.7,2
55.6,1.2,0
30.6,8.8,1
6.9,19.8,2
25.1,8.3,1
16.4,28.4,2
61.4,3.4,0
80.0,2.5,0
13.3,23.1,2
60.7,3.7,0
46.0,0.6,0
32.0,8.6,1
66.4,2.9,0
38.8,14.9,1
62.5,1.2,0
14.7,17.3,2
28.4,6.6,1
22.7,7.9,1
21.5,14.0,1
12.6,22.9,2
44.0,4.9,0
15.6,21.0,2
97.1,4.3,0
82.6,1.3,0
21.2,11.7,1
93.3,2.8,0
59.3,1.4,0
78.1,0.9,0
35.7,9.3,1
53.2,1.2,0
15.9,24.2,2
32.4,10.8,1
19.7,22.2,2
55.6,0.3,0
37.0,6.3,1
11.0,29.8,2
35.6,13.1,1
29.2,11.8,1
77.2,3.0,0
49.8,2.1,0
38.1,14.3,1
83.9,4.8,0
16.8,26.0,2
94.1,0.9,0
11.3,26.1,2
59.6,4.2,0
18.3,26.9,2
24.2,6.6,1
20.6,13.1,1
68.2,2.6,0
39.1,13.8,1
42.3,4.1,0
46.7,1.9,0
49.0,1.5,0
76.0,2.5,0
27.1,14.0,1
41.5,2.7,0
91.1,3.1,0
16.1,29.1,2
64.6,1.7,0
18.2,26.9,2
63.9,2.7,0
89.9,3.9,0
19.4,19.7,2
28.6,12.4,1
8.2,23.5,2
77.4,4.4,0
37.5,13.2,1
15.5,27.7,2
17.1,21.0,2
80.7,0.7,0
26.8,12.2,1
73.4,3.2,0
70.9,2.7,0
28.9,8.5,1
22.3,14.1,1
60.4,2.0,0
48.9,4.7,0
19.6,23.8,2
53.1,3.1,0
6.7,28.1,2
93.6,2.8,0
71.2,4.6,0
